epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.58943,1.41263,3.04668,1.88383,0.54672,0.66667,0.72309,0.50368,1.66028,1.48123,1.66965,0,0,0
2,1.07063,1.483,3.12104,1.97711,0.53607,0.66667,0.72385,0.50334,1.65645,1.4618,1.66837,1.07219e-06,1.07219e-06,1.07219e-06
3,1.5184,1.56443,4.7895,1.91131,0.50086,0.81957,0.7242,0.50416,1.66545,1.44666,1.67083,1.90876e-06,1.90876e-06,1.90876e-06
4,1.96415,1.89013,4.14991,2.32494,0.4917,0.78752,0.72563,0.4972,1.66207,1.43852,1.67865,2.50971e-06,2.50971e-06,2.50971e-06
5,2.40174,1.45213,4.00967,1.76084,0.46986,0.66667,0.72668,0.49891,1.67037,1.44552,1.68716,2.87504e-06,2.87504e-06,2.87504e-06
6,2.83855,1.45728,3.36928,1.86392,0.51051,0.83333,0.75759,0.51558,1.6871,1.44499,1.7082,3.00475e-06,3.00475e-06,3.00475e-06
7,3.32302,1.4524,4.49863,1.83261,0.51329,0.83333,0.75715,0.51942,1.69894,1.44755,1.71576,2.89884e-06,2.89884e-06,2.89884e-06
8,3.87018,1.72649,4.05198,2.2352,0.48478,0.85,0.75856,0.51951,1.70641,1.45986,1.72215,2.55731e-06,2.55731e-06,2.55731e-06
9,4.40623,1.64666,3.39656,1.94822,0.48478,0.85,0.75856,0.51951,1.70641,1.45986,1.72215,1.98016e-06,1.98016e-06,1.98016e-06
10,4.94373,1.68912,3.88758,2.13722,0.46438,0.85,0.84776,0.56357,1.71389,1.49349,1.73229,1.16739e-06,1.16739e-06,1.16739e-06
